mA,mH,tanb,width_A,width_H,lambda2,lambda3
600,400,1,37.3911558,4.21723902,-3.04125875e+00,3.55672634e+00
700,500,1,43.553231,12.898441,-3.70105726e+00,4.21652485e+00
800,400,1,104.192761,4.21723902,-7.65984832e+00,8.17531590e+00
800,500,1,71.9611928,12.898441,-6.17530167e+00,6.69076926e+00
900,500,1,116.622388,12.898441,-8.97944533e+00,9.49491292e+00
900,600,1,79.3862847,20.5390075,-7.16499943e+00,7.68046702e+00
900,700,1,54.4617345,27.2557037,-5.02065428e+00,5.53612187e+00
1000,400,1,235.340347,4.21723902,-1.35980349e+01,1.41135025e+01
1000,500,1,179.59689,12.898441,-1.21134883e+01,1.26289558e+01
1100,400,1,329.862024,4.21723902,-1.70619771e+01,1.75774447e+01
1100,500,1,262.817063,12.898441,-1.55774304e+01,1.60928980e+01
1100,600,1,196.52521,20.5390075,-1.37629845e+01,1.42784521e+01
1100,700,1,137.841811,27.2557037,-1.16186394e+01,1.21341070e+01
1100,800,1,92.5670672,33.3189548,-9.14439496e+00,9.65986255e+00
1100,900,1,64.3117382,38.9198063,-6.34025130e+00,6.85571888e+00
1200,400,1,446.238906,4.21723902,-2.08558185e+01,2.13712861e+01
1200,500,1,368.179929,12.898441,-1.93712719e+01,1.98867394e+01
1200,600,1,287.712492,20.5390075,-1.75568260e+01,1.80722935e+01
1200,700,1,211.845229,27.2557037,-1.54124808e+01,1.59279484e+01
1200,800,1,147.085671,33.3189548,-1.29382364e+01,1.34537040e+01
1200,900,1,98.5559659,38.9198063,-1.01340927e+01,1.06495603e+01
500,400,1,23.0122674,4.21723902,-1.22681285e+00,1.74228044e+00
600,500,1,29.065909,12.898441,-1.55671211e+00,2.07217969e+00
700,600,1,34.4520615,20.5390075,-1.88661136e+00,2.40207895e+00
800,700,1,39.4751177,27.2557037,-2.21651062e+00,2.73197820e+00
900,800,1,44.2634212,33.3189548,-2.54640987e+00,3.06187746e+00
1000,900,1,48.8841233,38.9198063,-2.87630913e+00,3.39177671e+00
