mA,mH
600,400
700,500
800,400
800,500
900,500
900,600
900,700
1000,400
1000,500
1100,400
1100,500
1100,600
1100,700
1100,800
1100,900
1200,400
1200,500
1200,600
1200,700
1200,800
1200,900
500,400
600,500
700,600
800,700
900,800
1000,900
1100,1000
1200,1100
1300,400
1300,500
1300,600
1300,700
1300,800
1300,900
1300,1000
1300,1100
1300,1200
1400,400
1400,500
1400,600
1400,700
1400,800
1400,900
1400,1000
1400,1100
1400,1200
1500,500
1500,600
1500,700
1500,800
1500,900
1500,1100
1500,1200
1700,400
1700,500
1700,600
1700,700
1700,800
1700,900
1700,1000
1700,1100
1700,1200
1700,1400
1700,1600
700,400
800,600
900,400
1000,600
1000,700
1000,800
1200,1000
1500,400
1500,1000
1500,1400
